# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿錒吖锕
duo	多剁咄墮奪惰朵綞舵跺踱躲鐸剟剫哆喥嚲垛埵墯奲嶞掇敓敪柮椯毲裰趓跢陊陏鮵鵽哚堕夺缍铎亸凙刴嚉垜夛尮崜憜挅挆敚敠朶桗畓痥跥躱軃鈬飿饳
e	餓俄厄呃噩堊娥婀峨惡愕扼萼蛾訛詻軛遏鄂鍔額顎鱷鵝匎吪咢噁囮堨堮姶屙岋峉崿廅搤搹枙櫮歞涐珴痾皒睋砐砨莪蚅蝁諤豟軶迗遻鋨鑩閼阨頞餩魤鶚齃齶垩恶腭苊讹谔轭锇锷颚额饿鳄鹅鹗偔僫卾呝咹妸妿娿屵峩悪戹擜歺湂琧砈硆磀礘蕚覨誐譌讍遌鈋鈪阸頋頟騀魥鰐鰪鵈鵞
ei	誒诶
en	恩奀峎摁蒽煾
eng	鞥
er	而儿兒二洱爾耳貳邇餌侕刵咡唲尒峏栭栮樲毦洏珥聏胹荋薾衈輀鉺陑駬鮞鴯尔贰迩铒饵鲕鸸児厼尓弍弐粫袻誀貮趰轜隭髵
fa	發法乏伐琺砝筏罰醱閥髮沷疺瞂茷藅发垡珐罚阀佱傠姂彂栰橃浌灋発笩罸蕟鍅髪
fan	飯凡反墦帆幡梵樊氾汎泛煩犯番礬範繁繙翻范藩販返釩勫奿嬏旛杋柉橎渢滼瀪瀿燔璠畈笲笵籓籵羳膰薠蘩蠜蹯軓軬轓鐇颿鱕鷭烦矾贩钒饭仮凢凣匥噃婏嬎忛憣払旙棥盕緐舤舧襎訉鐢飜飰
fang	方房仿倣坊妨放枋紡肪舫芳訪防匚昉汸淓瓬邡鈁髣魴鶭纺访钫鲂埅堏旊昘牥眆蚄趽錺鰟鴋
fei	飛匪吠啡妃屝廢扉斐沸痱翡肥肺腓芾菲誹費霏非俷剕厞奜婓悱昲曊朏棐榧櫠淝濷狒疿癈篚緋胇胐萉蜚蜰蟦裶鐨陫餥馡騑騛鯡鼣废绯诽费镄飞鲱婔廃暃杮渄猆蕜靅靟飝
fen	分份兝吩墳奮忿憤棻氛汾焚粉糞紛芬僨妢幩弅昐枌梤棼橨濆瀵炃秎羒羵翂膹蒶蕡蚡衯豶轒酚鈖鐼雰饙魵黂黺鼖鼢偾坟奋愤粪纷鲼兺哛岎帉朆朌燌燓瞓竕肦蚠訜豮躮隫餴馚馩鱝
feng	風丰俸奉封峰楓烽瘋縫蜂諷豐逢鋒馮鳳偑唪堸夆妦崶捀摓桻檒灃焨犎猦甮艂葑蘴覂賵酆飌麷冯凤枫沣疯砜缝讽锋风仹僼凨凬凮寷峯沨浲湗溄漨煈琒盽碸篈綘蠭赗鄷鎽鏠闏霻靊鳯鴌
fiao	覅
fo	坲仏梻
fou	否缶殕紑缹鴀妚缻裦雬
